year,state_abbr,state_name,population,violent_crime,property_crime,total_crime,homicide,rape_legacy,rape_legacy_cleaned,aggravated_assault,robbery,rape_revised,rape_revised_cleaned,burglary,larceny,motor_vehicle_theft,violent_crime_rate_100k,%violent_crime_100k,property_crime_rate_100k,%property_crime_100k,%total_crime_per_100k
2010,MO,Missouri,5995715,27440,200858,228298,420,1445.0,1445,19390,6185,,0,44197,140526,16135,457.660179,0.457660179,3350.02581,3.35002581,3.807685989
2010,MN,Minnesota,5310658,12515,136431,148946,96,1798.0,1798,7233,3388,,0,24415,103429,8587,235.6581802,0.2356581802,2569.00369,2.56900369,2.804661871
2010,MI,Michigan,9877143,48693,271501,320194,580,4733.0,4733,31858,11522,,0,74345,169748,27408,492.9866865,0.4929866865,2748.780695,2.748780695,3.241767382
2010,ME,Maine,1327379,1621,32900,34521,24,389.0,389,796,412,,0,7364,24547,989,122.120359,0.122120359,2478.568668,2.478568668,2.600689027
2010,MD,Maryland,5785681,31607,173309,204916,426,1228.0,1228,18899,11054,,0,36704,118578,18027,546.2969701,0.5462969701,2995.481431,2.995481431,3.541778401
2010,MA,Massachusetts,6555466,30737,154496,185233,214,1784.0,1784,21842,6897,,0,37903,105124,11469,468.8758968,0.4688758968,2356.75084,2.35675084,2.825626737
2010,LA,Louisiana,4545343,25241,165667,190908,500,1230.0,1230,18214,5297,,0,45437,110260,9970,555.3156274,0.5553156274,3644.763442,3.644763442,4.20007907
2010,KY,Kentucky,4347223,10604,111170,121774,188,1438.0,1438,5230,3748,,0,30443,74488,6239,243.925835,0.243925835,2557.264718,2.557264718,2.801190553
2010,KS,Kansas,2859143,10602,89109,99711,97,1146.0,1146,7821,1538,,0,19315,63774,6020,370.8104142,0.3708104142,3116.633201,3.116633201,3.487443615
2010,IN,Indiana,6490622,20983,199274,220257,268,1760.0,1760,12396,6559,,0,48570,137204,13500,323.2818057,0.3232818057,3070.183412,3.070183412,3.393465218
2010,IL,Illinois,12841980,57132,349064,406196,704,3066.0,3066,32976,20386,,0,77472,242681,28911,444.8846673,0.4448846673,2718.147825,2.718147825,3.163032492
2010,ID,Idaho,1571102,3464,31436,34900,22,533.0,533,2696,213,,0,6513,23594,1329,220.4821838,0.2204821838,2000.888548,2.000888548,2.221370732
2010,IA,Iowa,3050202,8191,68740,76931,38,883.0,883,6258,1012,,0,16746,48194,3800,268.5395918,0.2685395918,2253.621236,2.253621236,2.522160827
2010,HI,Hawaii,1363359,3603,45667,49270,25,377.0,377,2136,1065,,0,8706,31681,5280,264.2737533,0.2642737533,3349.594641,3.349594641,3.613868394
2010,GA,Georgia,9712157,39068,353449,392517,555,2107.0,2107,24034,12372,,0,96947,226161,30341,402.2587361,0.4022587361,3639.243064,3.639243064,4.0415018
2010,FL,Florida,18838613,101969,669035,771004,987,5373.0,5373,69523,26086,,0,169119,458454,41462,541.2765791,0.5412765791,3551.402643,3.551402643,4.092679222
2010,DE,Delaware,899792,5608,31078,36686,51,326.0,326,3392,1839,,0,7550,21593,1935,623.2551523,0.6232551523,3453.909348,3.453909348,4.0771645
2010,DC,District of Columbia,604912,8026,28802,36828,132,187.0,187,3382,4325,,0,4233,19514,5055,1326.80456,1.32680456,4761.353718,4.761353718,6.088158278
2010,CT,Connecticut,3575498,10083,78259,88342,133,595.0,595,5802,3553,,0,15145,56413,6701,282.0026749,0.2820026749,2188.758042,2.188758042,2.470760716
2010,CO,Colorado,5047692,16339,135001,151340,129,2230.0,2230,10816,3164,,0,26196,97534,11271,323.6924915,0.3236924915,2674.509459,2.674509459,2.998201951
2010,CA,California,37338198,164133,981939,1146072,1809,8331.0,8331,95877,58116,,0,228857,600558,152524,439.5846848,0.4395846848,2629.851071,2.629851071,3.069435756
2010,AZ,Arizona,6413158,26528,226802,253330,408,2191.0,2191,16976,6953,,0,50932,154137,21733,413.6495624,0.4136495624,3536.510406,3.536510406,3.950159968
2010,AR,Arkansas,2921588,14711,103820,118531,134,1321.0,1321,10887,2369,,0,32463,65796,5561,503.5275337,0.5035275337,3553.546907,3.553546907,4.05707444
2010,AL,Alabama,4785401,18363,168828,187191,275,1355.0,1355,11869,4864,,0,42484,115564,10780,383.7295976,0.3837295976,3527.980205,3.527980205,3.911709802
2010,AK,Alaska,714146,4537,20259,24796,31,533.0,533,3379,594,,0,3105,15535,1619,635.3042655,0.6353042655,2836.814881,2.836814881,3.472119147
2009,WY,Wyoming,544270,1196,14243,15439,11,172.0,172,935,78,,0,2176,11310,757,219.7438771,0.2197438771,2616.899701,2.616899701,2.836643578
2009,WV,West Virginia,1819777,5554,46215,51769,84,470.0,470,4086,914,,0,12005,31453,2757,305.2022308,0.3052022308,2539.596885,2.539596885,2.844799115
2009,WI,Wisconsin,5654774,14650,147692,162342,146,1118.0,1118,8482,4904,,0,26813,111947,8932,259.0731301,0.2590731301,2611.810835,2.611810835,2.870883965
2009,WA,Washington,6664195,22412,245215,267627,190,2583.0,2583,12928,6711,,0,53047,168421,23747,336.304685,0.336304685,3679.589208,3.679589208,4.015893893
2009,VT,Vermont,621760,837,15010,15847,8,132.0,132,586,111,,0,3471,11090,449,134.617859,0.134617859,2414.114771,2.414114771,2.54873263
2009,VA,Virginia,7882590,18195,194020,212215,370,1572.0,1572,9911,6342,,0,31956,150374,11690,230.8251476,0.2308251476,2461.373736,2.461373736,2.692198884
2009,UT,Utah,2784572,5998,91751,97749,39,941.0,941,3714,1304,,0,15258,69556,6937,215.401146,0.215401146,3294.97675,3.29497675,3.510377896
2009,TX,Texas,24782302,121684,995082,1116766,1330,8311.0,8311,74021,38022,,0,240058,678455,76569,491.0116905,0.4910116905,4015.292849,4.015292849,4.506304539
2009,TN,Tennessee,6296254,41933,237157,279090,468,2019.0,2019,29793,9653,,0,63832,158309,15016,665.9991798,0.6659991798,3766.636479,3.766636479,4.432635659
2009,SD,South Dakota,812383,1777,14378,16155,30,501.0,501,1129,117,,0,2621,10891,866,218.7391908,0.2187391908,1769.854859,1.769854859,1.98859405
